id,test,purchase,site,impressions,income,gender,gamer
48682,1,0,site1,32,60,0,0
29015,0,0,site1,11,70,1,0
3984,1,0,site1,340,60,1,0
40144,1,1,site1,400,90,1,1
41163,1,0,site1,36,60,0,1
44572,0,1,site1,6,80,1,0
46273,0,0,site1,0,60,0,1
53160,1,0,site1,0,70,1,1
16524,1,0,site1,44,70,1,1
16525,0,0,site1,263,60,1,1
11796,1,0,site1,0,70,1,1
41068,1,1,site1,330,70,1,1
61006,1,0,site1,0,70,1,0
59110,0,0,site1,2,50,0,0
38136,1,0,site1,210,50,1,0
65027,0,0,site1,261,70,1,0
12569,1,0,site1,0,70,1,0
53319,1,0,site1,8,70,0,1
28584,1,0,site1,36,60,1,1
67316,1,0,site1,54,70,1,0
49354,1,0,site1,64,70,0,0
52615,1,0,site1,114,70,1,0
36773,1,0,site1,9,70,0,0
9029,0,0,site1,20,80,0,1
45197,1,0,site1,81,60,1,0
36785,1,0,site1,213,90,1,0
16615,0,0,site1,123,60,0,1
45466,0,0,site1,27,90,1,1
20615,1,0,site1,0,50,0,1
10718,1,0,site1,10,40,1,0
16644,1,0,site1,278,50,0,1
9156,0,0,site1,86,80,1,0
47255,1,0,site1,84,80,1,0
16670,1,0,site1,8,80,1,0
48866,0,0,site1,358,70,1,0
33843,1,0,site1,130,40,0,0
14368,1,1,site1,0,80,0,1
65007,1,0,site1,14,70,0,1
41108,1,0,site1,58,70,0,1
10403,1,0,site1,0,50,1,0
491,1,0,site1,3,70,0,1
10297,0,0,site1,258,60,1,1
37642,1,0,site1,0,50,1,1
58124,1,0,site1,37,70,1,1
48100,1,0,site1,67,50,1,1
258,0,0,site1,0,80,0,1
54216,0,0,site1,144,50,1,0
26123,0,0,site1,5,80,1,1
31324,1,0,site1,70,90,1,0
45525,0,1,site1,320,70,1,0
63774,1,0,site1,8,50,0,1
16798,1,0,site1,30,50,1,0
59508,1,0,site1,2,40,0,0
16814,1,0,site1,13,80,1,0
25910,1,0,site1,104,50,0,0
8845,1,0,site1,0,60,1,0
18047,1,0,site1,156,70,1,0
3103,1,0,site1,0,60,0,1
63596,0,0,site1,24,80,0,1
32024,1,0,site1,11,60,1,0
55853,1,0,site1,0,60,1,0
48603,0,0,site1,6,50,1,0
26227,0,0,site1,0,50,1,0
59259,1,0,site1,16,80,1,0
38439,1,0,site1,165,50,1,1
43649,1,0,site1,2,70,1,1
16940,1,0,site1,15,50,1,0
54412,0,0,site1,19,70,1,1
47508,1,0,site1,30,80,1,0
19367,1,0,site1,0,40,1,0
35493,1,0,site1,264,60,1,0
35916,0,0,site1,390,60,0,0
66660,1,0,site1,74,80,1,0
9651,0,0,site1,14,70,1,0
20090,0,0,site1,0,60,0,0
60955,0,0,site1,0,60,0,0
31719,1,0,site1,366,50,1,1
37299,1,0,site1,0,50,0,1
14218,0,1,site1,339,70,1,0
17032,1,0,site1,199,80,1,0
1081,1,0,site1,0,70,1,1
27889,1,0,site1,5,60,1,0
26611,1,0,site1,39,30,0,0
4,1,0,site1,1,80,1,0
43466,1,0,site1,155,40,0,0
21256,0,0,site1,185,50,1,0
58773,1,0,site1,2,50,1,1
45341,1,0,site1,126,60,0,0
14460,1,0,site1,1,60,0,1
8675,1,0,site1,22,60,0,1
38392,1,0,site1,27,70,1,1
17143,1,0,site1,15,50,0,0
44551,1,0,site1,43,70,0,1
39058,1,1,site1,6,80,1,1
22014,1,0,site1,107,50,1,0
31162,1,0,site1,42,70,1,1
37,1,0,site1,128,60,1,0
53380,1,0,site1,42,90,0,1
54197,0,0,site1,0,50,0,0
30142,0,0,site1,10,50,0,0
31140,0,0,site1,384,70,1,1
33703,0,0,site1,6,60,1,0
51906,1,0,site1,30,80,0,1
720,1,0,site1,3,90,1,0
61362,1,0,site1,61,60,1,1
17250,1,0,site1,2,70,1,0
43292,0,0,site1,92,80,0,0
53908,1,0,site1,10,60,1,0
9787,0,0,site1,3,60,1,0
17310,1,0,site1,1,50,0,1
42526,0,0,site1,85,60,0,0
17324,1,0,site1,0,90,1,1
29129,1,0,site1,0,50,1,0
67146,1,0,site1,84,80,0,0
30052,1,0,site1,1,60,1,0
58695,1,0,site1,7,60,1,0
8067,1,0,site1,12,50,1,0
41608,0,0,site1,58,60,0,0
66046,1,0,site1,0,60,1,1
48606,1,0,site1,6,50,1,1
60921,0,0,site1,0,60,0,1
32739,0,0,site1,28,50,1,0
5542,1,1,site1,11,80,1,1
29237,0,0,site1,57,60,1,0
66190,1,0,site1,121,60,0,1
17429,0,0,site1,1,30,1,0
54497,1,0,site1,0,50,0,1
58791,1,0,site1,28,80,0,1
9123,1,0,site1,32,70,1,0
64578,1,0,site1,100,80,0,0
37992,0,0,site1,0,60,0,0
41588,1,0,site1,129,50,0,0
32205,1,0,site1,12,50,1,0
5500,1,0,site1,0,70,1,1
23604,1,0,site1,31,50,0,0
12529,1,0,site1,0,50,1,0
13455,0,0,site1,79,70,0,0
34497,1,0,site1,17,60,1,1
25068,1,0,site1,5,70,1,0
53843,1,0,site1,2,50,1,0
44696,1,0,site1,40,60,1,1
27549,1,0,site1,13,50,1,0
17546,0,0,site1,50,50,1,0
22760,1,0,site1,0,50,0,0
17554,0,0,site1,6,70,0,0
17579,1,0,site1,0,60,1,1
23603,1,0,site1,0,50,0,0
11165,1,0,site1,66,70,0,0
24016,1,0,site1,245,60,0,0
17595,1,0,site1,8,70,0,0
5249,1,0,site1,8,60,1,1
22060,1,0,site1,172,60,1,0
34124,0,0,site1,11,60,1,0
19825,1,0,site1,13,70,1,1
29802,0,0,site1,381,50,0,1
44869,1,0,site1,9,60,0,1
17465,1,0,site1,85,60,1,0
38194,1,1,site1,41,50,1,1
3854,1,0,site1,1,80,1,0
35244,0,0,site1,28,50,0,0
17713,1,0,site1,7,60,1,0
53639,1,0,site1,8,60,0,1
48684,1,0,site1,0,50,1,0
20949,1,0,site1,142,50,1,0
51913,0,0,site1,26,60,1,0
46189,1,1,site1,308,70,1,1
10669,1,0,site1,43,50,0,1
15966,1,0,site1,19,40,1,0
25069,1,1,site1,17,70,1,1
66688,0,0,site1,11,100,0,1
6901,1,0,site1,185,70,1,1
15160,1,0,site1,194,70,1,1
5768,0,0,site1,17,70,0,1
15872,1,0,site1,70,50,1,1
48579,1,0,site1,12,70,0,0
17814,1,0,site1,1,70,0,1
17181,1,1,site1,27,80,1,1
6849,0,0,site1,40,50,1,0
12605,0,1,site1,113,60,0,1
51420,1,0,site1,168,60,0,0
57404,0,0,site1,6,50,1,0
60102,1,1,site1,216,90,1,1
56027,0,0,site1,14,60,1,0
8143,0,0,site1,14,60,0,1
17868,1,0,site1,38,50,1,0
39252,1,0,site1,10,70,0,0
17878,1,0,site1,37,60,1,0
2331,1,0,site1,4,50,1,0
35889,1,0,site1,6,70,1,1
17888,1,1,site1,192,60,1,1
41400,1,0,site1,2,60,1,1
33277,1,0,site1,205,70,0,0
64160,1,0,site1,3,90,1,1
63005,0,1,site1,131,60,1,0
51898,0,1,site1,29,70,0,1
35050,1,0,site1,4,60,1,0
7669,1,0,site1,1,60,1,0
64535,1,0,site1,6,50,1,1
19884,1,0,site1,16,80,0,0
56718,1,1,site1,6,70,1,1
3044,1,0,site1,0,50,1,0
15225,1,0,site1,64,70,0,0
34686,1,0,site1,78,50,0,0
55959,0,0,site1,23,60,1,1
17948,0,0,site1,399,70,1,0
3010,1,0,site1,31,60,1,1
22083,1,0,site1,203,50,0,0
66726,1,0,site1,0,60,1,0
38602,0,0,site1,77,60,0,0
4118,0,0,site1,127,80,1,1
63329,1,0,site1,2,80,1,0
5431,1,0,site1,13,80,1,1
26501,1,0,site1,32,60,1,1
17985,1,0,site1,25,60,1,1
37881,0,0,site1,0,60,1,1
67200,1,0,site1,17,60,1,0
50579,1,0,site1,69,50,0,0
33306,1,0,site1,0,80,1,0
22314,1,0,site1,1,90,1,0
61983,1,0,site1,129,60,0,0
31329,1,0,site1,62,70,0,1
64043,1,0,site1,325,70,0,1
58272,1,0,site1,18,50,1,0
26001,1,0,site1,2,50,0,0
35492,1,0,site1,90,60,1,0
18069,1,0,site1,293,40,0,0
18070,0,0,site1,0,70,1,1
17982,1,0,site1,14,50,1,0
10292,0,0,site1,373,70,1,1
38264,1,0,site1,366,50,1,0
34666,1,0,site1,29,80,1,0
46065,1,0,site1,7,50,1,1
29359,0,0,site1,100,90,1,0
457,1,0,site1,0,50,1,1
24376,1,0,site1,7,70,1,1
52053,1,0,site1,5,70,1,1
67274,1,0,site1,185,60,0,1
18117,1,0,site1,257,70,1,1
21447,0,0,site1,68,60,0,1
34301,0,0,site1,90,60,1,0
41146,1,0,site1,0,70,1,1
27379,0,1,site1,1,60,0,1
727,1,0,site1,32,60,1,0
1149,1,0,site1,165,90,1,0
17095,1,0,site1,0,100,0,0
44151,1,0,site1,3,60,1,0
29704,0,0,site1,0,60,1,0
46445,0,0,site1,114,60,1,0
18216,1,0,site1,4,50,1,0
13161,1,0,site1,167,50,1,0
23402,1,0,site1,109,80,1,1
16892,0,0,site1,2,60,0,0
31604,0,0,site1,38,60,1,0
3779,0,0,site1,175,60,1,0
56909,0,0,site1,151,60,1,1
11986,1,0,site1,128,80,1,0
38681,0,0,site1,20,80,1,0
64068,1,0,site1,134,70,1,1
56205,0,0,site1,90,50,0,0
8695,0,0,site1,90,70,1,1
25372,1,0,site1,19,70,0,1
63398,1,0,site1,16,70,0,1
42116,1,0,site1,0,40,0,0
66312,1,0,site1,6,60,1,0
35404,1,0,site1,10,90,1,0
18326,1,0,site1,2,70,0,0
57948,0,0,site1,154,70,0,0
50687,0,0,site1,2,70,1,1
65813,0,0,site1,59,60,0,0
18347,0,0,site1,34,50,1,0
52352,0,0,site1,390,60,1,0
22616,1,0,site1,9,50,1,0
10747,0,0,site1,3,100,1,1
34287,1,0,site1,266,80,0,1
9678,1,0,site1,24,60,1,1
59488,1,0,site1,162,70,1,1
27621,1,0,site1,14,70,0,1
56271,0,0,site1,25,40,1,0
18401,1,0,site1,100,70,1,0
18402,1,0,site1,28,70,0,1
19302,0,0,site1,0,50,1,0
15909,1,0,site1,14,50,0,1
55383,1,0,site1,87,50,1,0
57075,0,0,site1,22,70,1,0
57184,1,0,site1,0,80,0,1
18447,0,0,site1,2,50,1,0
2240,0,0,site1,2,60,1,0
67394,0,0,site1,13,70,1,1
37876,0,0,site1,311,60,1,0
226,1,0,site1,0,80,1,0
1030,0,0,site1,61,70,0,0
37580,0,1,site1,201,80,1,1
6256,1,0,site1,1,100,1,1
65329,1,0,site1,73,60,0,0
22320,1,0,site1,307,50,0,0
18556,1,0,site1,0,50,0,0
10867,1,0,site1,10,60,1,0
21629,1,0,site1,79,40,0,0
14731,1,1,site1,391,90,1,0
36916,0,0,site1,245,50,1,0
52065,0,0,site1,81,50,0,1
63016,0,0,site1,9,70,1,0
60443,1,0,site1,0,70,1,0
21208,1,0,site1,3,60,0,0
11286,1,0,site1,126,50,0,0
63321,1,0,site1,61,60,0,1
23423,1,0,site1,0,80,1,1
25893,1,0,site1,6,50,1,0
38023,0,0,site1,51,70,0,1
19610,0,0,site1,268,50,0,1
37728,1,0,site1,6,80,1,0
18525,0,0,site1,10,60,0,1
18491,0,0,site1,9,100,0,1
36454,0,0,site1,38,50,0,1
56920,1,0,site1,0,50,1,0
40003,1,0,site1,357,70,1,1
46958,0,0,site1,22,80,0,1
8872,0,0,site1,57,40,1,0
38437,0,0,site1,174,70,1,0
34408,1,0,site1,140,60,1,1
54033,1,0,site1,113,30,1,0
6517,1,0,site1,15,70,0,0
17947,1,0,site1,0,40,1,0
18718,1,0,site1,55,80,1,0
18721,1,0,site1,175,90,1,1
18722,1,0,site1,296,80,1,0
10712,1,0,site1,176,60,1,1
15853,1,0,site1,0,70,1,0
63341,0,0,site1,7,80,0,1
23015,1,0,site1,71,60,1,0
57969,1,0,site1,1,40,0,0
45752,0,0,site1,11,60,1,0
32404,1,0,site1,0,60,1,0
54137,1,0,site1,0,70,1,1
49812,1,0,site1,131,60,1,1
43144,1,0,site1,9,70,0,0
11931,1,0,site1,10,80,0,0
63939,1,0,site1,11,60,1,0
18800,0,0,site1,19,70,1,1
18397,1,0,site1,26,70,1,1
31328,0,0,site1,72,60,1,1
56393,1,0,site1,27,60,0,1
66466,1,0,site1,7,70,0,1
