Reported Year,Total Dead and Missing,Lon,Lat
2018,1,21.14317,23.823002
2018,14,35.44208795,-3.127679063
2018,2,18.07428,34.434549
2018,2,35.35750205,-3.798174029
2018,6,35.85838435,36.1169485
2018,1,40.8806112,26.045885
2018,3,41.50770485,26.59802824
2018,1,5.540402403,-73.36125464
2018,1,31.4882334,-111.5428071
2018,1,12.953846,36.152215
2018,1,12.357222,-1.535278
2018,1,32.057499,-111.6660725
2018,1,-12.949113,28.674062
2018,1,-2.55236,36.79757
2018,1,20.610678,27.916851
2018,3,37.01378076,27.4414405
2018,1,15.1108171,-92.43089998
2018,7,-4.841440546,39.45602558
2018,1,27.28593786,-99.40112185
2018,1,9.020952,46.451457
2018,2,35.31707476,-2.95862509
2018,6,16.66168767,-92.55863457
2018,1,28.505442,-100.3245713
2018,1,-13.86155,33.782244
2018,1,18.07428,34.434549
2018,1,14.4498588,-90.6429999
2018,1,35.28808666,-3.114351178
2018,1,27.22454491,-98.30209987
2018,1,6.614935,101.337994
2018,1,-15.137787,39.230025
2018,2,12.40008995,-69.84954833
2018,1,32.057499,-111.6660725
2018,1,-16.083382,33.637539
2018,1,-13.86155,33.782244
2018,2,12.054854,-8.998136
2018,1,32.62150759,-114.8101311
2018,1,31.9676831,-113.0133083
2018,1,31.9698537,-111.4275888
2018,1,32.0577019,-112.1430215
2018,1,35.75688355,-0.755644093
2018,1,35.84634039,-5.913605179
2018,2,20.61410485,-100.8229615
2018,2,18.07428,34.434549
2018,2,19.635357,27.103538
2018,2,4.366667,-7.716667
2018,1,4.366667,-7.716667
2018,1,13.805278,8.988333
2018,1,27.50001691,-99.50184041
2018,22,38.27705488,27.18258423
2018,1,35.97365662,-0.352090264
2018,1,-22.224039,29.996078
2018,2,7.236226,-5.038495
2018,2,8.621028,-5.048118
2018,1,16.775833,-3.009444
2018,1,5.261657,13.578635
2018,11,40.94603547,24.43226374
2018,1,27.49996171,-99.50344209
2018,3,27.0273057,-98.2212979
2018,1,4.884933,38.116099
2018,1,6.770377,47.41765
2018,20,36.12548285,-3.06317992
2018,2,35.8245653,-0.803768973
2018,4,35.96866341,-0.02072771
2018,1,-15.137787,39.230025
2018,2,35.87082649,-5.84768721
2018,1,35.81287288,-0.806515555
2018,1,35.81810516,-0.1682271
2018,1,26.86714711,-99.31296755
2018,6,7.752677115,-72.47291562
2018,6,6.666557,100.304106
2018,6,4.916402,8.740138
2018,3,41.33991661,26.51932647
2018,1,27.36357889,-99.50347328
2018,2,35.81732734,-0.801022391
2018,2,13.511667,2.125278
2018,1,14.495833,-4.198611
2018,1,16.967643,7.985137
2018,1,26.1871099,-98.2259109
2018,1,26.01009812,-97.39860685
2018,1,26.22230745,-98.45591776
2018,1,31.7343946,-112.1154922
2018,1,-25.727874,32.550056
2018,34,38.7984375,26.51754452
2018,1,22.396611,26.693147
2018,1,11.316667,-5.666667
2018,6,33.91935074,11.34777121
2018,1,10.283333,-4.916667
2018,3,6.666667,-1.616667
2018,1,6.133333,-5.933333
2018,2,10.867778,0.203611
2018,1,32.65666899,-116.0125638
2018,1,7.988257,-5.497591
2018,2,5.2,11.21
2018,2,5.2,11.21
2018,1,9.511606,44.059039
2018,1,11.183333,-4.283333
2018,1,18.7640625,-97.4066875
2018,2,11.53815274,-17.14215922
2018,1,41.74359982,26.06331147
2018,1,31.9163189,-112.9357799
2018,1,10.275137,98.786917
2018,1,16.87079,96.268316
2018,2,8.271988,34.587575
2018,2,21.943709,27.672666
2018,2,10.58,-3.15
2018,1,35.1294076,-3.3237902
2018,1,32.1314348,-112.3440313
2018,1,14.495833,-4.198611
2018,2,5.79077,9.3026
2018,1,15.670295,-1.329927
2018,34,35.93653286,-6.646877177
2018,1,28.33246077,-100.3032934
2018,1,33.5333125,12.6333125
2018,2,9.322813,42.787821
2018,1,9.599192,43.343533
