Company name,Notes,Status,Last modified,Where to apply,Industry,Location,Founded Date,Founders,Funding Status,Last Funding Type,Number of Employees,Revenue Range,Hug Tags,Ipo Status,Company Type,Number of Acquisitions,Total Funding,Headquarters Location,Headquarters Regions
A.T. Kearney,"
",Hiring  freeze,2020-04-07T18:03:47.000Z,,"Collaboration, Consulting, Information Technology, Management Consulting",,1926,,,,1001-5000,,,Private,For Profit,1,,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US"
A&E Networks,"3 reports of hiring freezes
",Hiring  freeze,2020-04-06T20:19:37.000Z,,,,,,,,,,,,,,,,
A^3 by Airbus,"
",Hiring  freeze,2020-04-07T18:04:05.000Z,,,,,,,,,,,,,,,,
A2zroomz,"1 report of layoff for Sales Outbound Executive (4/6)
1 report of layoffs related to hospitality and servicing (3/31)
",Layoffs,2020-04-07T00:37:45.000Z,,"Tourism, Travel, Travel Accommodations, Travel Agency",,"Oct 28, 2017",,,,51-100,,,Private,For Profit,,,"Gurgaon, Haryana, India",Asia-Pacific (APAC)
AAA,All contractors have been laid off,"Hiring  freeze,Hiring",2020-04-07T18:04:15.000Z,,,,,,,,,,,,,,,,
AAA Club Alliance,"Insurance, Car Care, Fleet Drivers
",Hiring,2020-04-08T23:57:08.000Z,,,,,,,,,,,,,,,,
AARP,"3 reports of hiring
",Hiring,2020-04-06T17:27:17.000Z,,"Cyber Security, Events, News",,"Jan 1, 1958",,,Grant,1001-5000,$10M to $50M,,Private,For Profit,,,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US"
AB InBev,"Confirmed by employee that they are still hiring. Some internships might be affected.
",Hiring,2020-04-10T17:06:01.000Z,https://www.ab-inbev.com/careers.html,,,,,,,,,,,,,,,
Abacus Insights,"Actively hiring across all teams in Boston, NYC, and remotely.
",Hiring,2020-04-01T01:40:47.000Z,,"Analytics, Health Care, Information Technology, SaaS, Software",,2017,Minal Kumar Patel,Early Stage Venture,Series A,11-50,,,Private,For Profit,,$12.7M,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US"
Abacus Technologies,"100% Remote during Crisis
",Hiring,2020-04-04T19:00:16.000Z,,"Electronics, Manufacturing",,,,,,101-250,$10M to $50M,,Private,,,,,
ABB,Employee confirmed global hiring freeze. My ongoing interview is canceled. ,Hiring  freeze,2020-04-06T21:19:22.000Z,,"Automotive, Chemical, Energy, Industrial Engineering, Oil and Gas, Robotics, Transportation",,"Jan 5, 1988",,IPO,Grant,10001+,$1B to $10B,,Public,For Profit,31,,"Zürich, Zurich, Switzerland",
Abbott,All Roles Posted -- ,"Hiring,Hiring  freeze",2020-04-07T18:04:35.000Z,,,,,,,,,,,,,,,,
"AbbVie, inc. ","Reports of continued hiring and a hiring freeze. Details below:
Hiring:","Hiring,Hiring  freeze",2020-04-10T16:44:51.000Z,,,,,,,,,,,,,,,,
ABC,"
",Hiring,2020-04-03T21:14:48.000Z,,,,,,,,,,,,,,,,
ABClonal,"
",Hiring  freeze,2020-04-09T23:42:59.000Z,,,,,,,,,,,,,,,,
ABIM,"
",Hiring,2020-04-05T13:56:58.000Z,,,,,,,,,,,,,,,,
Able,"All roles on the website are open and actively interviewing/hiring
",Hiring,2020-04-07T18:05:03.000Z,,,,,,,,,,,,,,,,
Ably Realtime,"Recently funded and growing, ref jobs.ably.io
",Hiring,2020-03-29T11:17:52.000Z,jobs.ably.io,,,,,,,,,,,,,,,
ABM,"
",Hiring,2020-04-03T23:41:20.000Z,,,,,,,,,,,,,,,,
abrecrombie & fitch,"
",Hiring  freeze,2020-04-05T20:13:39.000Z,,,,,,,,,,,,,,,,
ABS,"
","Hiring,Hiring  freeze",2020-04-05T12:56:02.000Z,,,,,,,,,,,,,,,,
Absolunet,"
",Layoffs,2020-04-07T18:05:23.000Z,,,,,,,,,,,,,,,,
Abstract,"Confirmed by person in  the company- they are filling essential roles only
",Hiring,2020-04-01T01:42:07.000Z,https://www.abstract.com/careers/,,,,,,,,,,,,,,,
Abt Associates,"
",Hiring,2020-04-10T19:34:44.000Z,,,,,,,,,,,,,,,,
"Abtrex Industries, Inc.","Currently hiring tradespeople, welders, procurement professionals and QA/QC technicians
",Hiring,2020-04-05T16:04:48.000Z,,,,,,,,,,,,,,,,
Academia.edu,"
",Hiring  freeze,2020-04-01T01:45:40.000Z,,,,,,,,,,,,,,,,
Academic Travel Abroad,"
",Hiring  freeze,2020-04-07T18:05:44.000Z,,,,,,,,,,,,,,,,
academy,"
",Hiring,2020-04-07T18:05:48.000Z,,,,,,,,,,,,,,,,
ACAMS,"
",Hiring,2020-04-01T01:45:49.000Z,,,,,,,,,,,,,,,,
Accela,"
",Hiring,2020-04-07T18:06:06.000Z,,,,,,,,,,,,,,,,
Accenture,"Multiple reports of continued hiring and a hiring freeze. Details below:
Hiring:",Hiring,2020-04-09T20:44:36.000Z,,,,,,,,,,,,,,,,
ACCO Brands,"
",Hiring,2020-04-10T16:34:21.000Z,,,,,,,,,,,,,,,,
Accruent,"Multiple reports of a hiring freeze and continued hiring. Details below:
Hiring:",Hiring  freeze,2020-04-06T20:29:24.000Z,,,,,,,,,,,,,,,,
AcctTwo,"
",Hiring  freeze,2020-04-07T18:06:38.000Z,,,,,,,,,,,,,,,,
AccuLynx,"Software Engineers, Platform Team
",Hiring,2020-04-02T04:03:27.000Z,,,,,,,,,,,,,,,,
Accuracy,"Analyst Positions
",Hiring  freeze,2020-04-06T18:12:58.000Z,,,,,,,,,,,,,,,,
AccuReference,"Some employees on reduced hours
",Hiring  freeze,2020-04-02T04:03:38.000Z,,,,,,,,,,,,,,,,
